	0	1	2	3
0	know	used by	billie	81
1	know	used by	olivia	89
2	know	used by	sabrina	86
3	know	used by	taylor	108
4	get	used by	billie	43
5	get	used by	olivia	81
6	get	used by	sabrina	63
7	get	used by	taylor	61
8	go	used by	billie	85
9	go	used by	olivia	104
10	go	used by	sabrina	171
11	go	used by	taylor	177
12	think	used by	billie	47
13	think	used by	olivia	43
14	think	used by	sabrina	57
15	think	used by	taylor	58
16	say	used by	billie	29
17	say	used by	olivia	34
18	say	used by	sabrina	57
19	say	used by	taylor	45
20	tell	used by	billie	18
21	tell	used by	olivia	19
22	tell	used by	sabrina	68
23	tell	used by	taylor	21
24	do	used by	billie	155
25	do	used by	olivia	120
26	do	used by	sabrina	159
27	do	used by	taylor	194
28	want	used by	billie	28
29	want	used by	olivia	38
30	want	used by	sabrina	23
31	want	used by	taylor	84
32	wanna	used by	billie	59
33	wanna	used by	olivia	29
34	wanna	used by	sabrina	73
35	wanna	used by	taylor	37
36	make	used by	billie	33
37	make	used by	olivia	23
38	make	used by	sabrina	24
39	make	used by	taylor	22
40	see	used by	billie	29
41	see	used by	olivia	18
42	see	used by	sabrina	23
43	see	used by	taylor	57
44	take	used by	billie	22
45	take	used by	olivia	11
46	take	used by	sabrina	44
47	take	used by	taylor	34
48	feel	used by	billie	34
49	feel	used by	olivia	34
50	feel	used by	sabrina	35
51	feel	used by	taylor	29
52	have	used by	billie	19
53	have	used by	olivia	15
54	have	used by	sabrina	27
55	have	used by	taylor	36
56	love	used by	billie	44
57	love	used by	olivia	59
58	love	used by	sabrina	56
59	love	used by	taylor	99
60	look	used by	billie	15
61	look	used by	olivia	18
62	look	used by	sabrina	41
63	look	used by	taylor	29
64	like	used by	billie	52
65	like	used by	olivia	54
66	like	used by	sabrina	107
67	like	used by	taylor	135
68	be	used by	billie	160
69	be	used by	olivia	171
70	be	used by	sabrina	236
71	be	used by	taylor	313
72	leave	used by	billie	6
73	leave	used by	olivia	2
74	leave	used by	sabrina	20
75	leave	used by	taylor	18
76	need	used by	billie	14
77	need	used by	olivia	1
78	need	used by	sabrina	34
79	need	used by	taylor	26
80	let	used by	billie	30
81	let	used by	olivia	23
82	let	used by	sabrina	20
83	let	used by	taylor	29
84	stop	used by	billie	9
85	stop	used by	olivia	13
86	stop	used by	sabrina	23
87	stop	used by	taylor	10
88	try	used by	billie	18
89	try	used by	olivia	17
90	try	used by	sabrina	20
91	try	used by	taylor	13
92	come	used by	billie	10
93	come	used by	olivia	5
94	come	used by	sabrina	7
95	come	used by	taylor	17
96	give	used by	billie	13
97	give	used by	olivia	13
98	give	used by	sabrina	16
99	give	used by	taylor	12
100	find	used by	billie	6
101	find	used by	olivia	6
102	find	used by	sabrina	13
103	find	used by	taylor	17
104	call	used by	billie	11
105	call	used by	olivia	12
106	call	used by	sabrina	21
107	call	used by	taylor	20
108	keep	used by	billie	16
109	keep	used by	olivia	8
110	keep	used by	sabrina	17
111	keep	used by	taylor	12
112	stay	used by	billie	10
113	stay	used by	olivia	4
114	stay	used by	sabrina	10
115	stay	used by	taylor	37
